ts,biomass,fossil_coal-derived_gas,fossil_gas,fossil_oil_shale,fossil_peat,hydro_run-of-river_and_pondage,other,other_renewable,solar,waste,wind_onshore,capacity_factor,installed_mw
2018-12-31 22:00:00+00:00,71.3,47.7,1.0,459.4,4.6,3.1,0.0,6.7,0.7,10.2,238.3,0.7687096774193549,310.0
2018-12-31 23:00:00+00:00,70.5,47.7,1.0,484.2,4.6,3.1,0.0,6.7,0.7,10.0,243.7,0.7861290322580645,310.0
2019-01-01 00:00:00+00:00,71.5,47.6,1.0,470.9,4.6,3.1,0.0,6.7,0.7,11.1,236.7,0.7635483870967742,310.0
2019-01-01 01:00:00+00:00,68.3,47.5,1.0,455.0,4.1,3.1,0.0,6.7,0.7,12.4,227.0,0.7322580645161291,310.0
2019-01-01 02:00:00+00:00,69.5,47.6,1.0,460.6,4.3,3.1,0.0,6.7,0.7,13.5,206.4,0.6658064516129032,310.0
2019-01-01 03:00:00+00:00,69.9,47.8,1.0,468.7,4.4,3.1,0.0,6.7,0.7,14.6,201.5,0.65,310.0
2019-01-01 04:00:00+00:00,69.7,47.8,1.0,478.6,4.3,3.1,0.0,6.7,0.7,15.3,198.6,0.6406451612903226,310.0
2019-01-01 05:00:00+00:00,69.3,47.8,1.0,615.2,4.4,3.1,0.0,6.7,0.7,15.9,204.2,0.6587096774193548,310.0
2019-01-01 06:00:00+00:00,69.6,47.8,1.0,568.7,4.3,3.1,0.0,6.7,0.7,15.3,210.1,0.677741935483871,310.0
2019-01-01 07:00:00+00:00,69.7,47.9,1.0,469.6,4.4,3.1,0.0,6.8,0.7,15.9,193.9,0.6254838709677419,310.0
2019-01-01 08:00:00+00:00,69.6,47.8,1.0,457.7,4.3,3.1,0.0,6.8,0.7,14.7,174.2,0.5619354838709677,310.0
2019-01-01 09:00:00+00:00,69.6,47.7,1.0,448.9,4.3,3.1,0.0,6.8,0.7,14.4,162.9,0.525483870967742,310.0
2019-01-01 10:00:00+00:00,69.7,48.0,1.0,452.6,4.3,3.1,0.0,6.8,0.7,15.1,135.7,0.4377419354838709,310.0
2019-01-01 11:00:00+00:00,70.0,47.8,1.0,465.5,4.4,3.1,0.0,6.8,0.7,15.1,125.7,0.40548387096774197,310.0
2019-01-01 12:00:00+00:00,70.7,47.6,1.0,450.6,4.5,3.1,0.0,6.8,0.7,15.5,134.5,0.4338709677419355,310.0
2019-01-01 13:00:00+00:00,71.9,47.6,1.0,466.6,4.7,3.1,0.0,6.8,0.7,15.4,136.3,0.4396774193548387,310.0
2019-01-01 14:00:00+00:00,72.3,47.5,1.0,468.2,4.8,3.1,0.0,6.8,0.7,15.4,151.3,0.4880645161290323,310.0
2019-01-01 15:00:00+00:00,72.8,47.4,1.0,496.6,4.9,3.1,0.0,6.8,0.7,15.6,126.8,0.4090322580645161,310.0
2019-01-01 16:00:00+00:00,73.8,47.4,1.0,574.8,5.0,3.1,0.0,6.8,0.7,14.5,148.1,0.47774193548387095,310.0
