timestamp,supply_s1_p10,supply_s1_p50,supply_s1_p90,supply_s2_p10,supply_s2_p50,supply_s2_p90,supply_s3_p10,supply_s3_p50,supply_s3_p90,supply_s4_p10,supply_s4_p50,supply_s4_p90
2026-01-01 23:00:00+00:00,263.94827,397.25702,547.54443,261.2829,393.71173,543.37524,261.2829,393.71173,543.37524,261.2829,393.71173,543.37524
2026-01-02 00:00:00+00:00,261.55847,394.4326,544.7068,259.5916,391.73083,541.38873,260.27682,392.54816,542.1909,261.02365,393.45325,543.0869
2026-01-02 01:00:00+00:00,260.97168,393.7862,544.068,259.69916,391.87164,541.4664,261.32693,393.84525,543.42255,263.17682,396.07895,545.63165
2026-01-02 02:00:00+00:00,263.3408,396.7199,546.97174,262.55374,395.3537,544.8625,265.33725,398.72012,548.23846,268.86603,403.05432,552.8525
2026-01-02 03:00:00+00:00,267.42004,401.84204,552.4635,267.1906,400.99115,550.56573,272.01318,406.98468,556.9519,279.23535,416.00128,566.56995
2026-01-02 04:00:00+00:00,273.93076,409.88928,561.07385,274.45218,410.0674,560.12994,282.2836,419.7945,570.5931,293.35458,433.3546,585.1217
2026-01-02 05:00:00+00:00,287.60062,426.76062,578.82684,289.10068,428.14972,579.3609,299.3787,440.81506,593.25977,315.08917,460.001,614.51624
2026-01-02 06:00:00+00:00,304.0438,446.72382,600.4448,305.78375,448.64017,601.70764,319.68265,465.43475,620.08795,338.9191,488.20023,645.0696
2026-01-02 07:00:00+00:00,322.67874,469.24356,624.93066,324.1761,470.7265,625.5009,335.856,484.614,640.5881,360.50076,512.9656,672.7164
2026-01-02 08:00:00+00:00,342.12933,492.18677,649.3169,344.87875,494.99487,651.6623,356.58517,508.42642,667.01373,384.39883,539.8736,702.57666
2026-01-02 09:00:00+00:00,340.69684,490.5083,647.4953,343.846,493.83347,650.1805,361.11157,513.5983,672.7004,388.67548,544.6747,707.7832
2026-01-02 10:00:00+00:00,328.38867,475.98004,631.90155,331.81357,479.73938,634.8426,355.11212,506.80737,664.94385,384.2732,539.79364,702.2567
2026-01-02 11:00:00+00:00,307.94073,451.52,605.44305,311.1668,455.07858,608.2209,337.0825,486.05743,641.87427,366.41214,519.796,679.76465
2026-01-02 12:00:00+00:00,291.97183,432.33597,584.8106,293.6874,434.03326,585.60864,318.29376,463.77966,617.9771,345.242,495.7603,652.63293
2026-01-02 13:00:00+00:00,282.67703,420.9022,573.02606,283.5843,421.6994,572.5851,307.49634,450.78882,603.90656,337.8215,487.10544,643.46246
2026-01-02 14:00:00+00:00,275.5638,412.2113,563.9333,276.02982,412.30878,562.87994,300.07388,441.9536,594.3771,337.8079,487.13776,643.593
2026-01-02 15:00:00+00:00,269.96948,405.38208,556.71765,270.1578,405.05487,555.3493,293.64047,434.21127,586.24207,334.52438,483.3232,639.65533
2026-01-02 16:00:00+00:00,265.95212,400.4342,551.44775,266.00992,399.97568,549.9752,290.6153,430.56558,582.4156,336.52264,485.7523,642.4415
2026-01-02 17:00:00+00:00,264.11752,398.1496,548.9665,264.0878,397.60342,547.4333,291.19897,431.30612,583.2212,344.76346,495.4912,653.01953
2026-01-02 18:00:00+00:00,262.4766,396.11102,546.7649,262.0966,395.24158,545.1413,290.529,430.54053,582.48444,347.4252,498.67343,656.628
2026-01-02 19:00:00+00:00,262.72934,396.41852,547.01874,262.13,395.3061,545.1984,292.65857,433.16687,585.27716,359.0059,512.07074,671.4686
2026-01-02 20:00:00+00:00,264.64694,398.7557,549.3459,263.96335,397.51364,547.32056,297.9278,439.5586,591.9607,379.31726,534.997,697.3566
2026-01-02 21:00:00+00:00,267.57108,402.32153,552.99536,266.8463,401.02136,550.89355,304.67563,447.6619,600.8386,400.00674,558.0164,723.12085
2026-01-02 22:00:00+00:00,271.97256,407.64526,558.4838,271.41428,406.60428,556.6043,312.90286,457.6994,611.8365,418.13812,577.9056,745.23145
2026-01-02 23:00:00+00:00,277.9459,414.93036,565.66235,278.0813,414.8503,564.7811,322.88614,469.609,624.42615,430.54816,591.3004,759.9936
2026-01-03 00:00:00+00:00,282.78046,420.93164,571.66797,282.9835,420.90192,570.76245,329.96057,478.04276,633.39154,438.84293,600.183,769.96277
2026-01-03 01:00:00+00:00,284.99063,423.6834,574.44507,284.97433,423.35553,573.2806,331.98557,480.48383,636.0366,433.98502,594.86847,764.4022
2026-01-03 02:00:00+00:00,283.87378,422.34366,573.09906,283.44983,421.50235,571.34344,328.12073,475.96027,631.30084,421.03613,580.7501,749.1805
2026-01-03 03:00:00+00:00,281.9448,420.00714,570.79297,281.42062,419.0163,568.75214,322.36017,469.1563,624.1084,409.85645,568.47394,735.9114
2026-01-03 04:00:00+00:00,285.73584,424.64502,575.50867,284.71057,423.04852,573.0613,324.55466,471.75085,626.8589,411.6969,570.4719,738.0848
2026-01-03 05:00:00+00:00,298.60043,440.13553,591.8761,295.94644,436.78357,587.7717,339.91217,489.609,646.5396,429.66855,590.0503,759.39844
2026-01-03 06:00:00+00:00,316.3409,461.6124,615.04486,311.98688,456.39026,609.29834,359.21722,511.61865,671.2881,448.5553,610.4138,781.39923
2026-01-03 07:00:00+00:00,334.46155,483.05096,637.7837,328.89578,476.54224,630.9373,379.9317,534.96387,697.29095,469.23434,632.8836,806.55884
2026-01-03 08:00:00+00:00,344.38327,494.59412,650.0066,338.5592,487.80615,643.31085,390.6328,546.94116,710.35913,477.1458,641.6194,816.55676
2026-01-03 09:00:00+00:00,341.45862,491.16846,646.1019,335.7462,484.56955,639.48193,385.1386,540.8298,703.33887,469.31622,633.1042,806.46277
2026-01-03 10:00:00+00:00,329.5565,477.14478,631.26636,325.90338,472.91888,626.87024,371.65854,525.6693,686.35156,450.4793,612.4761,782.78394
2026-01-03 11:00:00+00:00,311.65497,455.81598,608.63385,310.50912,454.474,607.0093,349.6335,500.6604,658.2176,417.53558,576.7441,743.7444
2026-01-03 12:00:00+00:00,296.0576,437.1632,588.8348,296.39078,437.22678,588.14764,324.2138,471.0603,625.503,379.23212,534.33484,696.71246
2026-01-03 13:00:00+00:00,281.68643,419.638,570.9058,282.32205,420.1089,570.1235,303.79788,446.5133,599.01105,348.24844,499.30914,657.29956
2026-01-03 14:00:00+00:00,269.8502,405.0969,555.9479,270.1741,404.98837,554.55615,287.5584,426.70682,577.66064,323.06766,469.92322,625.1683
2026-01-03 15:00:00+00:00,260.34406,393.60196,544.24646,260.57385,393.3051,542.86884,274.12823,410.15576,560.4215,302.60568,445.2206,598.36774
2026-01-03 16:00:00+00:00,252.77454,384.9897,536.462,253.09653,384.92657,535.2677,263.7491,397.39642,547.2603,286.25693,425.39676,577.14355
2026-01-03 17:00:00+00:00,247.04697,378.89145,531.4357,247.34698,378.77487,530.0881,255.35602,387.62814,538.0657,272.4912,408.43622,559.4431
