"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","CTA|EE","Biomass","70.20"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","CTA|EE","Biomass","68.50"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","CTA|EE","Biomass","69.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","CTA|EE","Biomass","65.90"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","CTA|EE","Biomass","67.40"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","CTA|EE","Biomass","67.60"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","CTA|EE","Biomass","67.70"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","CTA|EE","Biomass","67.30"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","CTA|EE","Biomass","67.30"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","CTA|EE","Biomass","67.70"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","CTA|EE","Biomass","67.80"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","CTA|EE","Biomass","68.40"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","CTA|EE","Biomass","68.60"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","CTA|EE","Biomass","68.50"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","CTA|EE","Biomass","69.30"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","CTA|EE","Biomass","70.40"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","CTA|EE","Biomass","71.10"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","CTA|EE","Biomass","72.00"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","CTA|EE","Biomass","72.10"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","CTA|EE","Biomass","71.70"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","CTA|EE","Biomass","70.00"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","CTA|EE","Biomass","69.80"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","CTA|EE","Biomass","71.00"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","CTA|EE","Biomass","70.70"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","CTA|EE","Biomass","70.10"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","CTA|EE","Biomass","68.10"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","CTA|EE","Biomass","68.60"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","CTA|EE","Biomass","65.60"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","CTA|EE","Biomass","67.20"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","CTA|EE","Biomass","67.20"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","CTA|EE","Biomass","66.80"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","CTA|EE","Biomass","68.10"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","CTA|EE","Biomass","69.80"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","CTA|EE","Biomass","70.90"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","CTA|EE","Biomass","71.70"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","CTA|EE","Biomass","71.90"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","CTA|EE","Biomass","72.20"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","CTA|EE","Biomass","72.00"
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","CTA|EE","Biomass","73.50"
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","CTA|EE","Biomass","74.80"
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","CTA|EE","Biomass","75.30"
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","CTA|EE","Biomass","76.50"
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","CTA|EE","Biomass","76.70"
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","CTA|EE","Biomass","76.70"
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","CTA|EE","Biomass","75.20"
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","CTA|EE","Biomass","74.90"
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","CTA|EE","Biomass","76.20"
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","CTA|EE","Biomass","75.70"
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","CTA|EE","Biomass","75.10"
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","CTA|EE","Biomass","73.30"
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","CTA|EE","Biomass","74.10"
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","CTA|EE","Biomass","71.00"
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","CTA|EE","Biomass","72.40"
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","CTA|EE","Biomass","72.20"
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","CTA|EE","Biomass","72.10"
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","CTA|EE","Biomass","71.80"
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","CTA|EE","Biomass","71.70"
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","CTA|EE","Biomass","71.50"
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","CTA|EE","Biomass","71.60"
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","CTA|EE","Biomass","72.20"
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","CTA|EE","Biomass","72.60"
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","CTA|EE","Biomass","72.20"
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","CTA|EE","Biomass","73.50"
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","CTA|EE","Biomass","75.40"
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","CTA|EE","Biomass","75.60"
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","CTA|EE","Biomass","76.10"
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","CTA|EE","Biomass","76.20"
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","CTA|EE","Biomass","75.90"
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","CTA|EE","Biomass","74.00"
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","CTA|EE","Biomass","73.90"
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","CTA|EE","Biomass","74.70"
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","CTA|EE","Biomass","74.30"
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","CTA|EE","Biomass","73.60"
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","CTA|EE","Biomass","71.70"
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","CTA|EE","Biomass","73.00"
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","CTA|EE","Biomass","70.40"
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","CTA|EE","Biomass","70.80"
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","CTA|EE","Biomass","71.50"
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","CTA|EE","Biomass","74.20"
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","CTA|EE","Biomass","75.70"
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","CTA|EE","Biomass","78.70"
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","CTA|EE","Biomass","80.50"
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","CTA|EE","Biomass","79.70"
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","CTA|EE","Biomass","78.50"
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","CTA|EE","Biomass","77.20"
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","CTA|EE","Biomass","76.40"
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","CTA|EE","Biomass","76.80"
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","CTA|EE","Biomass","78.30"
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","CTA|EE","Biomass","80.10"
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","CTA|EE","Biomass","81.70"
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","CTA|EE","Biomass","82.50"
