"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","CTA|EE","Biomass","70.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","CTA|EE","Biomass","68.30"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","CTA|EE","Biomass","69.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","CTA|EE","Biomass","66.20"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","CTA|EE","Biomass","68.20"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","CTA|EE","Biomass","67.80"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","CTA|EE","Biomass","67.60"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","CTA|EE","Biomass","67.30"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","CTA|EE","Biomass","66.50"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","CTA|EE","Biomass","65.90"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","CTA|EE","Biomass","65.70"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","CTA|EE","Biomass","65.80"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","CTA|EE","Biomass","65.50"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","CTA|EE","Biomass","64.80"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","CTA|EE","Biomass","65.30"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","CTA|EE","Biomass","68.70"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","CTA|EE","Biomass","69.90"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","CTA|EE","Biomass","70.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","CTA|EE","Biomass","70.30"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","CTA|EE","Biomass","69.60"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","CTA|EE","Biomass","67.10"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","CTA|EE","Biomass","65.50"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","CTA|EE","Biomass","66.90"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","CTA|EE","Biomass","67.10"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","CTA|EE","Biomass","67.20"
