"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","CTA|EE","Biomass","51.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","CTA|EE","Biomass","49.10"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","CTA|EE","Biomass","49.50"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","CTA|EE","Biomass","48.40"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","CTA|EE","Biomass","49.10"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","CTA|EE","Biomass","48.80"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","CTA|EE","Biomass","49.80"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","CTA|EE","Biomass","49.10"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","CTA|EE","Biomass","45.80"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","CTA|EE","Biomass","42.70"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","CTA|EE","Biomass","38.80"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","CTA|EE","Biomass","44.70"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","CTA|EE","Biomass","53.10"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","CTA|EE","Biomass","54.50"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","CTA|EE","Biomass","56.20"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","CTA|EE","Biomass","58.30"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","CTA|EE","Biomass","59.40"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","CTA|EE","Biomass","60.70"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","CTA|EE","Biomass","62.20"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","CTA|EE","Biomass","61.80"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","CTA|EE","Biomass","62.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","CTA|EE","Biomass","62.40"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","CTA|EE","Biomass","61.90"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","CTA|EE","Biomass","61.60"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","CTA|EE","Biomass","61.80"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","CTA|EE","Biomass","60.10"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","CTA|EE","Biomass","60.50"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","CTA|EE","Biomass","64.50"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","CTA|EE","Biomass","68.90"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","CTA|EE","Biomass","73.50"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","CTA|EE","Biomass","78.90"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","CTA|EE","Biomass","78.20"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","CTA|EE","Biomass","79.90"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","CTA|EE","Biomass","79.10"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","CTA|EE","Biomass","77.80"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","CTA|EE","Biomass","78.10"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","CTA|EE","Biomass","76.80"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","CTA|EE","Biomass","75.20"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","CTA|EE","Biomass","75.60"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","CTA|EE","Biomass","76.90"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","CTA|EE","Biomass","78.30"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","CTA|EE","Biomass","78.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","CTA|EE","Biomass","78.40"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","CTA|EE","Biomass","76.80"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","CTA|EE","Biomass","75.30"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","CTA|EE","Biomass","75.30"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","CTA|EE","Biomass","74.50"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","CTA|EE","Biomass","73.70"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","CTA|EE","Biomass","69.10"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","CTA|EE","Biomass","70.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","CTA|EE","Biomass","71.60"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","CTA|EE","Biomass","72.40"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","CTA|EE","Biomass","73.60"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","CTA|EE","Biomass","78.70"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","CTA|EE","Biomass","80.10"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","CTA|EE","Biomass","80.30"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","CTA|EE","Biomass","79.60"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","CTA|EE","Biomass","78.20"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","CTA|EE","Biomass","77.50"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","CTA|EE","Biomass","77.40"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","CTA|EE","Biomass","76.70"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","CTA|EE","Biomass","77.80"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","CTA|EE","Biomass","78.40"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","CTA|EE","Biomass","79.60"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","CTA|EE","Biomass","80.10"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","CTA|EE","Biomass","79.80"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","CTA|EE","Biomass","81.20"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","CTA|EE","Biomass","78.20"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","CTA|EE","Biomass","71.10"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","CTA|EE","Biomass","68.40"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","CTA|EE","Biomass","67.70"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","CTA|EE","Biomass","66.70"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","CTA|EE","Biomass","66.40"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","CTA|EE","Biomass","66.80"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","CTA|EE","Biomass","66.70"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","CTA|EE","Biomass","69.30"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","CTA|EE","Biomass","70.80"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","CTA|EE","Biomass","68.30"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","CTA|EE","Biomass","66.00"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","CTA|EE","Biomass","66.80"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","CTA|EE","Biomass","73.70"
