"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","CTA|EE","Biomass","71.30"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","CTA|EE","Biomass","70.50"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","CTA|EE","Biomass","71.50"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","CTA|EE","Biomass","68.30"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","CTA|EE","Biomass","69.50"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","CTA|EE","Biomass","69.90"
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","CTA|EE","Biomass","69.70"
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","CTA|EE","Biomass","69.30"
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","CTA|EE","Biomass","69.60"
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","CTA|EE","Biomass","69.70"
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","CTA|EE","Biomass","69.60"
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","CTA|EE","Biomass","69.60"
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","CTA|EE","Biomass","69.70"
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","CTA|EE","Biomass","70.00"
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","CTA|EE","Biomass","70.70"
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","CTA|EE","Biomass","71.90"
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","CTA|EE","Biomass","72.30"
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","CTA|EE","Biomass","72.80"
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","CTA|EE","Biomass","73.80"
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","CTA|EE","Biomass","73.70"
"01/01/2019 20:00:00 - 01/01/2019 21:00:00","CTA|EE","Biomass","72.30"
"01/01/2019 21:00:00 - 01/01/2019 22:00:00","CTA|EE","Biomass","71.50"
"01/01/2019 22:00:00 - 01/01/2019 23:00:00","CTA|EE","Biomass","72.30"
"01/01/2019 23:00:00 - 02/01/2019 00:00:00","CTA|EE","Biomass","71.10"
"02/01/2019 00:00:00 - 02/01/2019 01:00:00","CTA|EE","Biomass","70.70"
"02/01/2019 01:00:00 - 02/01/2019 02:00:00","CTA|EE","Biomass","70.30"
"02/01/2019 02:00:00 - 02/01/2019 03:00:00","CTA|EE","Biomass","71.10"
"02/01/2019 03:00:00 - 02/01/2019 04:00:00","CTA|EE","Biomass","67.60"
"02/01/2019 04:00:00 - 02/01/2019 05:00:00","CTA|EE","Biomass","68.90"
"02/01/2019 05:00:00 - 02/01/2019 06:00:00","CTA|EE","Biomass","68.50"
"02/01/2019 06:00:00 - 02/01/2019 07:00:00","CTA|EE","Biomass","67.90"
"02/01/2019 07:00:00 - 02/01/2019 08:00:00","CTA|EE","Biomass","68.00"
"02/01/2019 08:00:00 - 02/01/2019 09:00:00","CTA|EE","Biomass","67.00"
"02/01/2019 09:00:00 - 02/01/2019 10:00:00","CTA|EE","Biomass","67.70"
"02/01/2019 10:00:00 - 02/01/2019 11:00:00","CTA|EE","Biomass","67.70"
"02/01/2019 11:00:00 - 02/01/2019 12:00:00","CTA|EE","Biomass","67.30"
"02/01/2019 12:00:00 - 02/01/2019 13:00:00","CTA|EE","Biomass","67.40"
"02/01/2019 13:00:00 - 02/01/2019 14:00:00","CTA|EE","Biomass","67.90"
"02/01/2019 14:00:00 - 02/01/2019 15:00:00","CTA|EE","Biomass","68.50"
"02/01/2019 15:00:00 - 02/01/2019 16:00:00","CTA|EE","Biomass","69.60"
"02/01/2019 16:00:00 - 02/01/2019 17:00:00","CTA|EE","Biomass","69.90"
"02/01/2019 17:00:00 - 02/01/2019 18:00:00","CTA|EE","Biomass","70.90"
"02/01/2019 18:00:00 - 02/01/2019 19:00:00","CTA|EE","Biomass","71.90"
"02/01/2019 19:00:00 - 02/01/2019 20:00:00","CTA|EE","Biomass","71.90"
"02/01/2019 20:00:00 - 02/01/2019 21:00:00","CTA|EE","Biomass","70.40"
"02/01/2019 21:00:00 - 02/01/2019 22:00:00","CTA|EE","Biomass","70.00"
"02/01/2019 22:00:00 - 02/01/2019 23:00:00","CTA|EE","Biomass","70.90"
"02/01/2019 23:00:00 - 03/01/2019 00:00:00","CTA|EE","Biomass","69.50"
"03/01/2019 00:00:00 - 03/01/2019 01:00:00","CTA|EE","Biomass","69.40"
"03/01/2019 01:00:00 - 03/01/2019 02:00:00","CTA|EE","Biomass","68.60"
"03/01/2019 02:00:00 - 03/01/2019 03:00:00","CTA|EE","Biomass","68.40"
"03/01/2019 03:00:00 - 03/01/2019 04:00:00","CTA|EE","Biomass","66.40"
"03/01/2019 04:00:00 - 03/01/2019 05:00:00","CTA|EE","Biomass","67.90"
"03/01/2019 05:00:00 - 03/01/2019 06:00:00","CTA|EE","Biomass","67.60"
"03/01/2019 06:00:00 - 03/01/2019 07:00:00","CTA|EE","Biomass","67.40"
"03/01/2019 07:00:00 - 03/01/2019 08:00:00","CTA|EE","Biomass","67.20"
"03/01/2019 08:00:00 - 03/01/2019 09:00:00","CTA|EE","Biomass","67.30"
"03/01/2019 09:00:00 - 03/01/2019 10:00:00","CTA|EE","Biomass","68.00"
"03/01/2019 10:00:00 - 03/01/2019 11:00:00","CTA|EE","Biomass","67.50"
"03/01/2019 11:00:00 - 03/01/2019 12:00:00","CTA|EE","Biomass","67.40"
"03/01/2019 12:00:00 - 03/01/2019 13:00:00","CTA|EE","Biomass","66.90"
"03/01/2019 13:00:00 - 03/01/2019 14:00:00","CTA|EE","Biomass","67.40"
"03/01/2019 14:00:00 - 03/01/2019 15:00:00","CTA|EE","Biomass","67.50"
"03/01/2019 15:00:00 - 03/01/2019 16:00:00","CTA|EE","Biomass","69.20"
"03/01/2019 16:00:00 - 03/01/2019 17:00:00","CTA|EE","Biomass","69.30"
"03/01/2019 17:00:00 - 03/01/2019 18:00:00","CTA|EE","Biomass","70.20"
"03/01/2019 18:00:00 - 03/01/2019 19:00:00","CTA|EE","Biomass","71.20"
"03/01/2019 19:00:00 - 03/01/2019 20:00:00","CTA|EE","Biomass","71.60"
"03/01/2019 20:00:00 - 03/01/2019 21:00:00","CTA|EE","Biomass","70.30"
"03/01/2019 21:00:00 - 03/01/2019 22:00:00","CTA|EE","Biomass","69.50"
"03/01/2019 22:00:00 - 03/01/2019 23:00:00","CTA|EE","Biomass","70.70"
"03/01/2019 23:00:00 - 04/01/2019 00:00:00","CTA|EE","Biomass","69.20"
"04/01/2019 00:00:00 - 04/01/2019 01:00:00","CTA|EE","Biomass","68.50"
"04/01/2019 01:00:00 - 04/01/2019 02:00:00","CTA|EE","Biomass","67.70"
"04/01/2019 02:00:00 - 04/01/2019 03:00:00","CTA|EE","Biomass","68.80"
"04/01/2019 03:00:00 - 04/01/2019 04:00:00","CTA|EE","Biomass","66.10"
"04/01/2019 04:00:00 - 04/01/2019 05:00:00","CTA|EE","Biomass","67.10"
"04/01/2019 05:00:00 - 04/01/2019 06:00:00","CTA|EE","Biomass","67.00"
"04/01/2019 06:00:00 - 04/01/2019 07:00:00","CTA|EE","Biomass","66.50"
"04/01/2019 07:00:00 - 04/01/2019 08:00:00","CTA|EE","Biomass","66.10"
"04/01/2019 08:00:00 - 04/01/2019 09:00:00","CTA|EE","Biomass","66.00"
"04/01/2019 09:00:00 - 04/01/2019 10:00:00","CTA|EE","Biomass","67.10"
"04/01/2019 10:00:00 - 04/01/2019 11:00:00","CTA|EE","Biomass","66.20"
"04/01/2019 11:00:00 - 04/01/2019 12:00:00","CTA|EE","Biomass","66.30"
"04/01/2019 12:00:00 - 04/01/2019 13:00:00","CTA|EE","Biomass","66.00"
"04/01/2019 13:00:00 - 04/01/2019 14:00:00","CTA|EE","Biomass","66.40"
"04/01/2019 14:00:00 - 04/01/2019 15:00:00","CTA|EE","Biomass","67.20"
"04/01/2019 15:00:00 - 04/01/2019 16:00:00","CTA|EE","Biomass","69.00"
"04/01/2019 16:00:00 - 04/01/2019 17:00:00","CTA|EE","Biomass","69.60"
"04/01/2019 17:00:00 - 04/01/2019 18:00:00","CTA|EE","Biomass","70.30"
"04/01/2019 18:00:00 - 04/01/2019 19:00:00","CTA|EE","Biomass","71.40"
"04/01/2019 19:00:00 - 04/01/2019 20:00:00","CTA|EE","Biomass","71.90"
"04/01/2019 20:00:00 - 04/01/2019 21:00:00","CTA|EE","Biomass","70.80"
"04/01/2019 21:00:00 - 04/01/2019 22:00:00","CTA|EE","Biomass","69.70"
"04/01/2019 22:00:00 - 04/01/2019 23:00:00","CTA|EE","Biomass","70.70"
"04/01/2019 23:00:00 - 05/01/2019 00:00:00","CTA|EE","Biomass","69.30"
"05/01/2019 00:00:00 - 05/01/2019 01:00:00","CTA|EE","Biomass","68.80"
"05/01/2019 01:00:00 - 05/01/2019 02:00:00","CTA|EE","Biomass","68.50"
"05/01/2019 02:00:00 - 05/01/2019 03:00:00","CTA|EE","Biomass","68.80"
"05/01/2019 03:00:00 - 05/01/2019 04:00:00","CTA|EE","Biomass","66.00"
"05/01/2019 04:00:00 - 05/01/2019 05:00:00","CTA|EE","Biomass","67.50"
"05/01/2019 05:00:00 - 05/01/2019 06:00:00","CTA|EE","Biomass","67.60"
"05/01/2019 06:00:00 - 05/01/2019 07:00:00","CTA|EE","Biomass","67.80"
"05/01/2019 07:00:00 - 05/01/2019 08:00:00","CTA|EE","Biomass","67.30"
"05/01/2019 08:00:00 - 05/01/2019 09:00:00","CTA|EE","Biomass","67.50"
"05/01/2019 09:00:00 - 05/01/2019 10:00:00","CTA|EE","Biomass","67.80"
"05/01/2019 10:00:00 - 05/01/2019 11:00:00","CTA|EE","Biomass","68.30"
"05/01/2019 11:00:00 - 05/01/2019 12:00:00","CTA|EE","Biomass","67.80"
"05/01/2019 12:00:00 - 05/01/2019 13:00:00","CTA|EE","Biomass","67.70"
"05/01/2019 13:00:00 - 05/01/2019 14:00:00","CTA|EE","Biomass","68.80"
"05/01/2019 14:00:00 - 05/01/2019 15:00:00","CTA|EE","Biomass","69.40"
"05/01/2019 15:00:00 - 05/01/2019 16:00:00","CTA|EE","Biomass","70.30"
"05/01/2019 16:00:00 - 05/01/2019 17:00:00","CTA|EE","Biomass","71.20"
"05/01/2019 17:00:00 - 05/01/2019 18:00:00","CTA|EE","Biomass","72.50"
"05/01/2019 18:00:00 - 05/01/2019 19:00:00","CTA|EE","Biomass","73.00"
"05/01/2019 19:00:00 - 05/01/2019 20:00:00","CTA|EE","Biomass","73.00"
"05/01/2019 20:00:00 - 05/01/2019 21:00:00","CTA|EE","Biomass","71.60"
"05/01/2019 21:00:00 - 05/01/2019 22:00:00","CTA|EE","Biomass","70.70"
"05/01/2019 22:00:00 - 05/01/2019 23:00:00","CTA|EE","Biomass","71.50"
"05/01/2019 23:00:00 - 06/01/2019 00:00:00","CTA|EE","Biomass","70.40"
"06/01/2019 00:00:00 - 06/01/2019 01:00:00","CTA|EE","Biomass","70.10"
"06/01/2019 01:00:00 - 06/01/2019 02:00:00","CTA|EE","Biomass","69.20"
