ts,biomass,energy_storage,fossil_coal-derived_gas,fossil_gas,fossil_oil_shale,fossil_peat,hydro_run-of-river_and_pondage,other,other_renewable,solar,waste,wind_onshore
2026-01-01 00:00:00+00:00,59.05,,56.2,5.0,0.0,0.0,0.8,0.0,0.0,0.775,16.45,83.5
2026-01-01 01:00:00+00:00,60.925,,55.6,5.0,0.0,0.0,0.8,0.0,0.0,0.725,16.225,107.75
2026-01-01 02:00:00+00:00,59.025,,52.95,5.05,0.0,0.0,0.8,0.0,0.0,0.375,16.025,146.95
2026-01-01 03:00:00+00:00,59.125,,50.9,5.675,0.0,0.0,0.8,0.0,0.0,0.5,16.15,213.2
2026-01-01 04:00:00+00:00,59.125,,49.175,5.625,0.0,0.0,0.8,0.0,0.0,6.875,15.975,244.02499999999998
2026-01-01 05:00:00+00:00,59.025,,49.4,5.4,0.0,0.0,0.8,0.0,0.0,3.35,15.875,294.7
2026-01-01 06:00:00+00:00,59.025,,50.7,5.325,0.0,0.0,0.7,0.0,0.0,2.05,16.275,352.825
2026-01-01 07:00:00+00:00,58.175,,50.775,5.1,0.0,0.0,0.7,0.0,0.0,12.775,16.325,259.02500000000003
2026-01-01 08:00:00+00:00,57.8,,52.5,5.1,0.0,0.0,0.7,0.0,0.0,24.075,16.5,214.025
2026-01-01 09:00:00+00:00,57.75,,55.8,4.575,0.0,0.0,0.725,0.0,0.0,24.575,16.45,185.325
2026-01-01 10:00:00+00:00,57.7,,56.05,3.9,0.0,0.0,0.8,0.0,0.0,20.375,16.2,195.575
2026-01-01 11:00:00+00:00,57.35,,55.7,4.65,0.0,0.0,0.8,0.0,0.0,7.5,16.4,237.25
2026-01-01 12:00:00+00:00,57.275,,53.75,5.275,0.0,0.0,0.8,0.0,0.0,0.9,15.575,249.825
2026-01-01 13:00:00+00:00,54.7,,53.85,5.4,0.0,0.0,0.8,0.0,0.0,4.95,15.65,256.45
2026-01-01 14:00:00+00:00,53.175,,54.724999999999994,5.35,0.0,0.0,0.8,0.0,0.0,9.675,16.125,283.25
2026-01-01 15:00:00+00:00,52.675000000000004,,55.475,5.275,0.0,0.0,0.8,0.0,0.0,5.6,16.075,315.8
2026-01-01 16:00:00+00:00,46.25,,55.325,5.3,0.0,0.0,0.8,0.0,0.0,4.65,15.75,328.4
2026-01-01 17:00:00+00:00,44.725,,56.425,5.3,0.0,0.0,0.8,0.0,0.0,0.85,16.475,381.55
2026-01-01 18:00:00+00:00,46.675,,57.125,5.3,0.0,0.0,0.8,0.0,0.0,0.325,16.475,408.8
2026-01-01 19:00:00+00:00,43.725,,58.175,5.3,0.0,0.0,0.8,0.0,0.0,2.775,16.35,414.8
2026-01-01 20:00:00+00:00,45.2,,59.0,5.2,0.0,0.0,0.8,0.0,0.0,5.075,16.0,431.0
2026-01-01 21:00:00+00:00,43.825,,59.825,5.025,0.0,0.0,0.8,0.0,0.0,0.55,15.325,410.825
